id|Os_lang|Ru_lang|Source_File|File_mp3
34|— Ай уын фæндæггаг. Ацæут, мæ хуртæ, æмæ уæ цæхæрадон бахъахъхъæнут.|— Идите, солнышки мои, постерегите золотое яблоко. Вся моя надежда на вас.|НАРТЫ_ФÆТКЪУЫ|НАРТЫ_ФÆТКЪУЫ.mp3
35|||НАРТЫ_ФÆТКЪУЫ|НАРТЫ_ФÆТКЪУЫ.mp3
36|Кæннод райсом Æртæ Нарты хæдзарæн лæгæй æрбацæудзысты æмæ уæ иуæн йæ сæр ракæндзысты, иннæмæн – йæ цонг æмæ сæ дыууæ михыл æрсадздзысты, æмæ Æртæ Нарты ‘хсæн дзæгъæлæй баззайдзынæн, æнæ дарæгæй.|"Если не устережете, то знайте – все три нартских рода соберутся сюда.
По одному человеку от каждого дома пришлют они и одному из вас отрубят голову, другому отсекут руку и, на позор мне, наденут их на колья.
Один останусь я на старости лет, без защитников и кормильцев."|НАРТЫ_ФÆТКЪУЫ|НАРТЫ_ФÆТКЪУЫ.mp3
37|"Лæппутæ загътой:
— Ма тæрс, нæ фыд, мах ацæудзыстæм æмæ бæлас бахъахъхъæндзыстæм!"|"— Не бойся, отец наш,
Уж мы-то устережем это яблоко и вор не уйдет от нас, — ответили ему сыновья."|НАРТЫ_ФÆТКЪУЫ|НАРТЫ_ФÆТКЪУЫ.mp3
38|"Уæрхæг сын загъта:
— Цæугæ бæргæ акæндзыстут, фæлæ тæрсын, фæстæмæ куынæуал æрцæуат – куы нæ йæ бафæразат бахъахъхъæнын."|— Знаю я, что вы ничего не страшитесь, но сам я страшусь за вас, — сказал отец.|НАРТЫ_ФÆТКЪУЫ|НАРТЫ_ФÆТКЪУЫ.mp3
39|Цæхæрадон уыдис саджы сыкъатæй бæрзонд æхгæд – маргъ æрбахатæн дæр æм нæ уыд.|Оградой из оленьих рогов огорожен был сад нартов, и так высока была эта ограда, что даже птица не могла перелететь через нее.|НАРТЫ_ФÆТКЪУЫ|НАРТЫ_ФÆТКЪУЫ.mp3
40|Æхсар æмæ Ахсæртæг араст сты цæхæрадонмæ; цæхæрадоны астæу диссаджы фæткъуы бæласы бын æрбадтысты. Æхсæвæр куы бахордтой, уæд кæстæр æфсымæр – Æхсæртæг – загъта Æхсарæн:|Сели братья под чудесной яблоней, поужинали, и младший, Ахсартаг, сказал старшему, Ахсару:|НАРТЫ_ФÆТКЪУЫ|НАРТЫ_ФÆТКЪУЫ.mp3
41|— Æрхуысс уал, Æхсар, радыгай хъахъхъæнæм – æмбисæхсæвмæ ды бафынæй кæн, уырдыгæй бонмæ та – æз.|— Будем стеречь по очереди. Ты ложись сейчас и спи до полуночи. А с полуночи до утра будет твой черед.|НАРТЫ_ФÆТКЪУЫ|НАРТЫ_ФÆТКЪУЫ.mp3
42|"Æхсар сразы ис æмæ æрхуыссыди æмæ бафынæй ис. Æмбисæхсæв фехъал ис æмæ дзуры Æхсæртæгмæ:
— Хуыцау мын æй ныббарæд – æгæр афынæй дæн."|"Согласился Ахсар, лег и заснул. Проснулся он в полночь и говорит брату:
Пусть бог простит меня, Ахсартаг, я, кажется, проспал."|НАРТЫ_ФÆТКЪУЫ|НАРТЫ_ФÆТКЪУЫ.mp3
43|"Æхсæртæг æм фæстæмæ дзуры:
— Нырма æмбисæхсæв нæу, æмæ уал хуысс."|— Пока нет полуночи, поспи еще, — ответил ему Ахсартаг.|НАРТЫ_ФÆТКЪУЫ|НАРТЫ_ФÆТКЪУЫ.mp3
44|Хуыссæгхъæлдзæг лæппу та ‘рхуыссыд фæстæмæ æмæ афынæй ис.|Ахсар со сна не разобрал времени, лег и снова уснул.|НАРТЫ_ФÆТКЪУЫ|НАРТЫ_ФÆТКЪУЫ.mp3
45|"Æхсæв æмæ бон кæрæдзийæ куыд хицæн кодтой, афтæ цæхæрадонмæ ‘рбатахтысты æртæ маргъы.
Æхсæртæг бады, йæ фат æмæ йе’рдын йæ къухы, афтæмæй."|"Не спит Ахсартаг, сидит он под яблоней, держит наготове лук и стрелу.
И в час когда ночь сменяется днем, три голубки перелетели через ограду."|НАРТЫ_ФÆТКЪУЫ|НАРТЫ_ФÆТКЪУЫ.mp3
46|Кæсы, æмæ ‘виппайды бæлас ныррухс и, æмæ йыл бады æртæ ‘хсинæджы.|Внезапно осветилась яблоня, и видит Ахсартаг: возле чудесного яблока опустились голубки.|НАРТЫ_ФÆТКЪУЫ|НАРТЫ_ФÆТКЪУЫ.mp3
47|Фæткъуымæ куыддæр фæцæйæвнæлдтой, афтæ сæ Æхсæртæг фехста, æмæ атахтысты, æрмæст сæ иуæн йæ туджы ‘ртæхтæ  ‘ркалдысты зæхмæ.|Но ни одна из них не успела клюнуть яблоко, как пустил стрелу Ахсартаг. Голубки улетели. Но одна летела низко и роняла на землю алые капельки крови.|НАРТЫ_ФÆТКЪУЫ|НАРТЫ_ФÆТКЪУЫ.mp3
48|Æхсæртæг райхъал кодта Æхсары æмæ ин загъта:|Тогда Ахсартаг разбудил Ахсара.|НАРТЫ_ФÆТКЪУЫ|НАРТЫ_ФÆТКЪУЫ.mp3
49|"— Æхсинæг фæцæф кодтон фæткъуы бæласыл, æмæ мын цæфæй атахти.
Мæнæ кæсыс йæ туджы ‘ртæхтæм!"|— Видишь каплю крови, — сказал он брату. – Это я на яблоне нашей ранил голубку, но она улетела.|НАРТЫ_ФÆТКЪУЫ|НАРТЫ_ФÆТКЪУЫ.mp3
50|"Куы фæцæф ис, уæд ныллæджыты атахтис, æмæ мæнæн йæ тугвæдыл æнæ цæугæ нæй.
Кæнæ йæ хъуамæ æрцахсон, кæнæ йæ фæдыл хъуамæ амæлон, æндæр гæнæн мын нæй."|"Низко, над самой землей, летела она, оставляя кровавый след.
Я должен пойти по этому следу – или поймаю ее, или погибну, — не могу поступить я иначе."|НАРТЫ_ФÆТКЪУЫ|НАРТЫ_ФÆТКЪУЫ.mp3
51|"Æрбамбырд кодта туджы ‘ртæхты, батыхта сæ зæлдаг кæлмæрзæны.
Кæлмæрзæн йæ фæснахы атъыста æмæ,  куы ‘рбабон ис, уæд загъта Æхсарæн:"|Бережно собрал он капли запекшейся крови, завернул их в шелковый платок, спрятал платок за ноговицу и, когда совсем рассвело, сказал Ахсару:|НАРТЫ_ФÆТКЪУЫ|НАРТЫ_ФÆТКЪУЫ.mp3
52|— Æз ныр цæуын сæфты мæргъты фæдыл, æмæ цы зæгъыс?|— Я ухожу на поиски этих неведомых птиц. Что ты мне скажешь?|НАРТЫ_ФÆТКЪУЫ|НАРТЫ_ФÆТКЪУЫ.mp3
53|Æхсар ын загъта: — Æз дæр цæуын, ды кæдæм цæуай, уырдæм.|— Я тоже пойду с тобой,— ответил Ахсар.|НАРТЫ_ФÆТКЪУЫ|НАРТЫ_ФÆТКЪУЫ.mp3
54|"Араст сты ‘фсымæртæ æмæ цæуынц тугвæдыл, æмæ сæ уый бахаста денджызы былмæ.
Уым фæд денджызы бынмæ ныххызтис."|Пошли братья по кровавому следу, привел он их к берегу моря и ушел  на морское дно.|НАРТЫ_ФÆТКЪУЫ|НАРТЫ_ФÆТКЪУЫ.mp3
55|"Æхсæртæг загъта Æхсарæн:
— Æз цæуын денджызы бынмæ, ды мæм ам, денджызы был, æнхъæлмæ кæс, æмæ кæд денджыз сырх фынк хæсса, уæд-иу нæ хæдзармæ аздæх – мæнæй дын пайда нал ис; кæд урс фынк хæсса, уæд мæм-иу афæдзы бонмæ банхъæлмæ кæс."|"Ахсартаг сказал Ахсару:
— Я иду на дно морское. Жди меня здесь. Если волны вынесут на берег кровавую пену, то жди меня здесь ровно год."|НАРТЫ_ФÆТКЪУЫ|НАРТЫ_ФÆТКЪУЫ.mp3
56|— Хорз, — загъта Æхсар æмæ баззад денджызы был, Æхсæртæг та йæ дзауматæ  ‘рбатымбыл кодта æмæ ныффардæг ис денджызы бынмæ.|"— Хорошо, — ответил Ахсар и остался на берегу.
Запахнул тут одежду Ахсартаг, туго подтянул ее, пошел по дну и скрылся под водой."|НАРТЫ_ФÆТКЪУЫ|НАРТЫ_ФÆТКЪУЫ.mp3
57|Дзырдуат|Словарь|НАРТЫ_ФÆТКЪУЫ|НАРТЫ_ФÆТКЪУЫ.mp3
58|зынгау|как огонь|НАРТЫ_ФÆТКЪУЫ|НАРТЫ_ФÆТКЪУЫ.mp3
59|æрттывдтытæ калдта|разбрасывала блестки, сиять|НАРТЫ_ФÆТКЪУЫ|НАРТЫ_ФÆТКЪУЫ.mp3
60|хъæдгом|рана, язва|НАРТЫ_ФÆТКЪУЫ|НАРТЫ_ФÆТКЪУЫ.mp3
61|фæндæггаг|в дорогу (еда)|НАРТЫ_ФÆТКЪУЫ|НАРТЫ_ФÆТКЪУЫ.mp3
62|дзæгъæлæй баззайдзынæн|останусь одинокий, потеряюсь|НАРТЫ_ФÆТКЪУЫ|НАРТЫ_ФÆТКЪУЫ.mp3
63|хуыссæгхъæлдзæг|заспанный|НАРТЫ_ФÆТКЪУЫ|НАРТЫ_ФÆТКЪУЫ.mp3
64|дзауматæ  ‘рбатымбыл кодта|собрал вещи|НАРТЫ_ФÆТКЪУЫ|НАРТЫ_ФÆТКЪУЫ.mp3
65|1.3. ДЗЕРАССÆ — РÆСУГЪД|"КРАСАВИЦА-ДЗЕРАССА
краткое содержание"|ДЗЕРАССÆ|ДЗЕРАССÆ.mp3
66|Æхсæртæг денджызы бын Донбеттырты хæдзармæ бафтыд.|И вот достиг Ахсартаг дома владетелей вод Донбеттыров.|ДЗЕРАССÆ|ДЗЕРАССÆ.mp3
67|Хæдзар та ахæм хæдзар уыд, æмæ йæ къултæ æргъæу, йæ бын — цъæх авг, йæ сæр — сæууон стъалы.|Стены дома — из перламутра, полы из голубого хрусталя, и утренняя звезда светит с потолка.|ДЗЕРАССÆ|ДЗЕРАССÆ.mp3
68|Хæдзары бадынц авд æфсымæры, сæ уæлæ — сæ дыууæ хойы, — амæй ай рæсугъддæртæ, сæ сæры хил сызгъæринау æрттивы.|Переступил Ахсартаг порог дома и увидел: сидят там семеро братьев и с ними две сестры, одна красивее другой, словно золото, переливаются волосы девушек.|ДЗЕРАССÆ|ДЗЕРАССÆ.mp3
69|— Фарн уæ хæдзары æмæ уæ райсом хорз! — загъта Æхсæртæг, хæдзармæ куы бахызти, уæд.|— Доброе утро, и да будет счастье в вашем доме! — сказал Ахсартаг.|ДЗЕРАССÆ|ДЗЕРАССÆ.mp3
70|"— Хорз дæ хай уæд! — зæгъгæ, йын загътой уыдон дæр æмæ сыстадысты, авд æфсымæры æмæ сæ дыууæ хойы, æмæ ‘рбадын кодтой Æхсæртæджы; æрбадтысты сæхуыдтæг дæр авд æфсымæры, æртæйæ — Ахсæртæгæн йæ уæллаг фарс, цыппарæй та — йæ дæллаг фарс.
Чысыл куы абадтысты, уæд æфсымæртæ бакастысты Æхсæртæгмæ æмæ йын загътой:"|"— Пусть лучшее будет долей твоей, — ответили семеро братьев и две их сестры.
Усадили они Ахсартага. Трое, что постарше его, сели по одну сторону, четверо, что моложе его, сели по другую. Посмотрели братья на Ахсартага и сказали ему:"|ДЗЕРАССÆ|ДЗЕРАССÆ.mp3
71|— Дæ хуызæн уазæг нæм нæ цæугæ ‘ркодта, нæдæр нæм цæугæ ‘ркæндзæн, æмæ дыл бацин кæнын бæргæ хъæуы, фæлæ мастыл стæм.|"— Подобного тебе гостя не было в нашем доме и никогда не будет.
И надо бы нам порадоваться твоему приходу и с честью встретить тебя, но не можем мы этого сделать, потому что горе пришло в наш дом."|ДЗЕРАССÆ|ДЗЕРАССÆ.mp3
72|— Хуыцау уын мæт ма зæгъæд, фæлæ цæуыл мæт кæнут? — бафарста сæ Æхсæртæг.|— Пусть бог вас избавит от горя. Что за горе у вас?|ДЗЕРАССÆ|ДЗЕРАССÆ.mp3
73|"Уыдон ын загътой:
— Æртæ хойы нын уыди æмæ сæ фыдбылызæн сахуыр сты Нарты цæхæрадонмæ."|"И ответили ему братья:
— Три наши сестры повадились, на беду свою, в сад нартов."|ДЗЕРАССÆ|ДЗЕРАССÆ.mp3
74|Уым иу бæласыл сызгъæрин фæткъуы задис; бон-иу арæгьæд ис, æхсæв та-иу сын æй радавта нæ хо Дзерассæ, æхсинæджы хуызы-иу бацыд, афтæмæй.|Там зреет на дереве золотое яблоко. За день оно созревало, а ночью его похищала сестра наша – Дзерасса.|ДЗЕРАССÆ|ДЗЕРАССÆ.mp3
75|Бæргæ йын дзырдтам: «Нартмæ фыдуаг фæсивæд ис, уыдонæй арвыл цъиу атæхын дæр нæ уæнды — ма цу фæткъуымæ».|Не раз говорили мы сестрам: «Отважны юноши нартов, даже птицы боятся пролетать над ними. Не летайте за яблоками».|ДЗЕРАССÆ|ДЗЕРАССÆ.mp3
76|Фæлæ нæм нæ байхъуыста. Нарты Ахсар æмæ Ахсæртæг кæрæдзийы кæрдтыл бафтæнт,— ныр уыдон хъахъхъæдтой фæткъуы бæлас æмæ йæ фæцæф кодтой.|"Но они не послушали нас.
И пусть мечами друг друга зарубят нарты Ахсар и Ахсартаг! В эту ночь они охраняли яблоню и ранили нашу Дзерассу."|ДЗЕРАССÆ|ДЗЕРАССÆ.mp3
77|Уыцы рæстæджы уатæй райхъуысти хъæрзын.|И только произнесли они имя сестры, как из соседней комнаты послышался стон.|ДЗЕРАССÆ|ДЗЕРАССÆ.mp3
78|"Æхсæртæг бафарста:
— Кæй хъæрзын у уый?"|—  Кто это стонет? — спросил Ахсартаг.|ДЗЕРАССÆ|ДЗЕРАССÆ.mp3
79|— Гъеуый, кæмæй дын зæгъæм, уый у — нæ хо Дзерассæ.|— Наша Дзерасса, о которой мы рассказали тебе.|ДЗЕРАССÆ|ДЗЕРАССÆ.mp3
80|— Æмæ йын ницы хос и? — афарста æфсымæрты Æхсæртæг.|— Есть ли средство ее исцелить? — спросил Ахсартаг.|ДЗЕРАССÆ|ДЗЕРАССÆ.mp3
81|"Æмæ йын уыдон загьтой:
— Бæргæ йын ис хос."|— Есть такое средство, — ответили братья.|ДЗЕРАССÆ|ДЗЕРАССÆ.mp3
82|"— Æмæ йын цы хос ис?
Йæ туджы ‘ртæхтæ — уыдон сты йæ хос; уыдон куы ‘рæмбырд кæнай æмæ йыл сæ куы бафу кæнай, уæд фервæздзæн, кæннод ын фервæзæн нал ис."|— Если собрать все капли крови, что она потеряла, и наложить их на рану ее, она будет спасена. Иначе она погибнет.|ДЗЕРАССÆ|ДЗЕРАССÆ.mp3
83|— Æмæ йæ чи сдзæбæх кæна, уымæн цы хорз ракæндзыстут? — бафарста сæ Æхсæртæг.|— Как наградите вы того, кто спасет сестру вашу? — спросил Ахсартаг.|ДЗЕРАССÆ|ДЗЕРАССÆ.mp3
84|— Уыцы лæгæн æй раттикам нæ уарзон хо Дзерассæйы — Хуыцау æй уымæн саккаг кодта.|Замуж за того, кто спасет ее, выдадим мы любимую сестру нашу Дзерассу, самим богом суждена она только ему.|ДЗЕРАССÆ|ДЗЕРАССÆ.mp3
85|— Уæдæ æз дæн Нарты Уæрхæджы фырт Æхсæртæг, йæ туджы ‘ртæхтæ мæнмæ сты, цæвгæ дæр æй æз ныккодтон, дзæбæх дæр æй æз скæндзынæн.|"И вот что ответил тогда Ахсартаг братьям:
— Я сын нарта Уархага. Ахсартаг — имя мое. Я собрал капли крови сестры вашей Дзерассы. Ранена она моею стрелою, я и вылечу ее."|ДЗЕРАССÆ|ДЗЕРАССÆ.mp3
86|— Цæут æмæ йæ ардæм ракæнут!|— Приведите ее сюда!|ДЗЕРАССÆ|ДЗЕРАССÆ.mp3
87|Æфсымæрты цæсгæмттæ ныррухс сты. Кæм ма уыдис кæрон сæ цинæн! Амæ зæгъынц Ахсæртæгæн:|Радостью осветились лица братьев, и ответили они Ахсартагу:|ДЗЕРАССÆ|ДЗЕРАССÆ.mp3
88|— Чызг уæззау рынчын у, дæумæ рацæуынæн нæу, фæлæ йæм мидæмæ уатмæ бахиз.|— Тяжело больна сестра наша Дзерасса, не сможет она выйти к тебе. Ты сам переступи порог ее комнаты.|ДЗЕРАССÆ|ДЗЕРАССÆ.mp3
89|Бацыд лæппу рынчыны размæ.|И юноша переступил порог комнаты, где лежала девушка.|ДЗЕРАССÆ|ДЗЕРАССÆ.mp3
